Q84JU6	Q9LSE2
Q9SIW1	Q9FPQ8
P46639	Q9FPQ8
P29382	O64645
Q8L7K4	O49627
Q9LYU7	O80809
P92960	Q9ZSD4
P49597	O80920
P49597	Q9FLB1
P49597	Q8S8E3
P49597	Q1ECF1
P49597	Q8VZS8
Q9CAJ0	Q940H6
A9LNK9	Q9SR06
Q8H0U5	Q9FKW6
Q9SV55	Q94AI7
Q9LMA8	Q9SV55
Q9LMA8	Q9C5K8
Q9SIW2	Q5D869
Q94A79	Q9LUJ3
Q94A79	Q5D869
Q2V3B2	P24100
Q8LG64	O23249
Q9FNY3	Q9FV71
Q9FNY2	Q9FV71
Q9LKZ3	Q9FV70
Q2V3B2	Q9SCR2
P24100	Q9FKB5
Q9ZR04	Q9FKB5
P24100	Q94CL9
O48814	Q9FL28
Q9M7X9	F4I0K2
Q941L3	Q941L2
Q9SYQ8	O49545
Q9FH37	Q9SN74
Q8LBC0	Q8W4P1
Q9LU93	Q9SB63
Q9SZA4	O48533
Q8LPL5	O48533
O24646	Q9LIE5
Q84TI6	Q9FJK7
Q7XYY2	Q9LTC5
Q7XYY2	Q0IGM7
Q9LMA8	Q9FIP9
Q9LVI4	Q9FIP9
Q8W4J8	Q9FIP9
Q96524	Q9SYX2
Q43125	Q9SYX2
Q9LDU5	Q39204
Q9C9E3	Q39204
Q8LBM2	Q39204
Q93ZM9	Q39204
Q9M246	Q39204
Q9C5K8	Q39204
Q9LDU5	Q9FIP9
Q93ZM9	Q9FIP9
Q9LDU5	Q9C5K8
Q9LHG8	Q9SCP9
Q9LHG8	Q5M759
Q9FFY6	Q9SCP9
Q9FFY6	Q9FF81
Q5M759	Q9FF81
Q8VZC9	Q5M759
Q9LQZ7	O24646
Q8LGA5	P42643
Q9FL28	Q9SNC6
Q8W2F1	Q9XGN1
P49177	Q8GXE2
O04211	O82804
O04211	Q9SNB4
Q9SNB4	O82804
Q9LQ02	Q9M297
Q9LQ02	Q9XI47
Q9LQ02	O23463
O22265	Q8LBP4
Q8GZM7	Q9FE22
Q9FUA4	O81313
Q94AI7	Q38828
Q9LMA8	Q8LBM2
Q9SUT5	F4JS25
F4HXZ1	Q9SZE4
O81055	Q9LIR8
Q9LNJ5	Q93ZM9
O81055	Q94A64
O80567	P42731
Q05762	Q9LV27
Q9FTA2	Q9LT89
Q9LNJ5	Q9LMA8
O81055	Q9LUS6
